"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Actual incidents","Number","223","units","0","v44339986","2.1.1","31917","","","","0"
"2018","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Actual incidents","Number","223","units","0","v44339986","2.1.1","31752","","","","0"
"2019","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Actual incidents","Number","223","units","0","v44339986","2.1.1","35003","","","","0"
"2020","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Actual incidents","Number","223","units","0","v44339986","2.1.1","35290","","","","0"
"2021","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Actual incidents","Number","223","units","0","v44339986","2.1.1","37983","","","","0"
"2017","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44348517","2.1.2","6042.04","","","","2"
"2018","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44348517","2.1.2","6041.56","","","","2"
"2019","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44348517","2.1.2","6687.27","","","","2"
"2020","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44348517","2.1.2","6768.78","","","","2"
"2021","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44348517","2.1.2","7296.66","","","","2"
"2017","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44347823","2.1.3","-7.05","","","","2"
"2018","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44347823","2.1.3","-0.01","","","","2"
"2019","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44347823","2.1.3","10.69","","","","2"
"2020","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44347823","2.1.3","1.22","","","","2"
"2021","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44347823","2.1.3","7.80","","","","2"
"2017","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000149919","2.1.15","4422","","","","0"
"2018","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000149919","2.1.15","4276","","","","0"
"2019","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000149919","2.1.15","4043","","","","0"
"2020","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000149919","2.1.15","4160","","","","0"
"2021","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000149919","2.1.15","4383","","","","0"
"2017","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000149920","2.1.16","12.17","","","","2"
"2018","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000149920","2.1.16","11.87","","","","2"
"2019","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000149920","2.1.16","10.35","","","","2"
"2020","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000149920","2.1.16","10.54","","","","2"
"2021","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000149920","2.1.16","10.35","","","","2"
"2017","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Total cleared","Number","223","units","0","v44395152","2.1.4","12795","","","","0"
"2018","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Total cleared","Number","223","units","0","v44395152","2.1.4","12525","","","","0"
"2019","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Total cleared","Number","223","units","0","v44395152","2.1.4","11525","","","","0"
"2020","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Total cleared","Number","223","units","0","v44395152","2.1.4","10417","","","","0"
"2021","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Total cleared","Number","223","units","0","v44395152","2.1.4","10043","","","","0"
"2017","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44339784","2.1.5","8384","","","","0"
"2018","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44339784","2.1.5","8495","","","","0"
"2019","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44339784","2.1.5","8249","","","","0"
"2020","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44339784","2.1.5","7384","","","","0"
"2021","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44339784","2.1.5","7006","","","","0"
"2017","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v44332630","2.1.6","4411","","","","0"
"2018","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v44332630","2.1.6","4030","","","","0"
"2019","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v44332630","2.1.6","3276","","","","0"
"2020","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v44332630","2.1.6","3033","","","","0"
"2021","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v44332630","2.1.6","3037","","","","0"
"2017","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44381906","2.1.7","8432","","","","0"
"2018","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44381906","2.1.7","8346","","","","0"
"2019","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44381906","2.1.7","8223","","","","0"
"2020","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44381906","2.1.7","7150","","","","0"
"2021","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44381906","2.1.7","6878","","","","0"
"2017","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44350890","2.1.8","1794.88","","","","2"
"2018","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44350890","2.1.8","1781.88","","","","2"
"2019","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44350890","2.1.8","1758.50","","","","2"
"2020","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44350890","2.1.8","1530.64","","","","2"
"2021","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44350890","2.1.8","1470.41","","","","2"
"2017","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Total, adult charged","Number","223","units","0","v44413032","2.1.9","7746","","","","0"
"2018","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Total, adult charged","Number","223","units","0","v44413032","2.1.9","7689","","","","0"
"2019","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Total, adult charged","Number","223","units","0","v44413032","2.1.9","7537","","","","0"
"2020","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Total, adult charged","Number","223","units","0","v44413032","2.1.9","6680","","","","0"
"2021","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Total, adult charged","Number","223","units","0","v44413032","2.1.9","6536","","","","0"
"2017","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v44329919","2.1.10","1769.45","","","","2"
"2018","Newfoundland and Labrador [10]","2016A000210","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v44329919","2.1.10","1760.42","","","","2"
