Province,Year,Registrants
Newfoundland and Labrador,2017,25305
Newfoundland and Labrador,2018,24795
Newfoundland and Labrador,2019,25083
Newfoundland and Labrador,2020,26181
Prince Edward Island,2017,8037
Prince Edward Island,2018,7455
Prince Edward Island,2019,8505
Prince Edward Island,2020,8616
Nova Scotia,2017,53484
Nova Scotia,2018,54495
Nova Scotia,2019,57033
Nova Scotia,2020,56841
New Brunswick,2017,27057
New Brunswick,2018,26790
New Brunswick,2019,27909
New Brunswick,2020,27099
Quebec,2017,534054
Quebec,2018,530367
Quebec,2019,529743
Quebec,2020,539385
Ontario,2017,864822
Ontario,2018,889755
Ontario,2019,907641
Ontario,2020,903780
Manitoba,2017,62802
Manitoba,2018,63363
Manitoba,2019,65037
Manitoba,2020,63363
Saskatchewan,2017,56529
Saskatchewan,2018,59301
Saskatchewan,2019,56784
Saskatchewan,2020,53085
Alberta,2017,194010
Alberta,2018,200391
Alberta,2019,203823
Alberta,2020,203523
British Columbia,2017,286914
British Columbia,2018,295320
British Columbia,2019,297432
British Columbia,2020,287523
Territories,2017,3534
Territories,2018,4071
Territories,2019,4803
Territories,2020,2307
