"REF_DATE","GEO","DGUID","Criminal Justice System","Key indicators","Sex of accused","Offences","Statistics","Fiscal quarters","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019/2020","Newfoundland and Labrador","2016A000210","Adult criminal courts","Total number of cases","Total, sex of accused","Total offences","Year to date data","Q3","Percent","239","units","0","v1276947031","1.1.1.1.1.2.3","","..","","","1"
"2020/2021","Newfoundland and Labrador","2016A000210","Adult criminal courts","Total number of cases","Total, sex of accused","Total offences","Year to date data","Q3","Percent","239","units","0","v1276947031","1.1.1.1.1.2.3","-28.6","","","","1"
"2021/2022","Newfoundland and Labrador","2016A000210","Adult criminal courts","Total number of cases","Total, sex of accused","Total offences","Year to date data","Q3","Percent","239","units","0","v1276947031","1.1.1.1.1.2.3","","..","","","1"
"2022/2023","Newfoundland and Labrador","2016A000210","Adult criminal courts","Total number of cases","Total, sex of accused","Total offences","Year to date data","Q3","Percent","239","units","0","v1276947031","1.1.1.1.1.2.3","","..","","","1"
"2019/2020","Newfoundland and Labrador","2016A000210","Adult criminal courts","Total number of cases","Total, sex of accused","Crimes against the person","Year to date data","Q3","Percent","239","units","0","v1276947121","1.1.1.1.4.2.3","","..","","","1"
"2020/2021","Newfoundland and Labrador","2016A000210","Adult criminal courts","Total number of cases","Total, sex of accused","Crimes against the person","Year to date data","Q3","Percent","239","units","0","v1276947121","1.1.1.1.4.2.3","-21.6","","","","1"
"2021/2022","Newfoundland and Labrador","2016A000210","Adult criminal courts","Total number of cases","Total, sex of accused","Crimes against the person","Year to date data","Q3","Percent","239","units","0","v1276947121","1.1.1.1.4.2.3","","..","","","1"
"2022/2023","Newfoundland and Labrador","2016A000210","Adult criminal courts","Total number of cases","Total, sex of accused","Crimes against the person","Year to date data","Q3","Percent","239","units","0","v1276947121","1.1.1.1.4.2.3","","..","","","1"
"2019/2020","Newfoundland and Labrador","2016A000210","Adult criminal courts","Total number of cases","Total, sex of accused","Crimes against property","Year to date data","Q3","Percent","239","units","0","v1276947339","1.1.1.1.15.2.3","","..","","","1"
"2020/2021","Newfoundland and Labrador","2016A000210","Adult criminal courts","Total number of cases","Total, sex of accused","Crimes against property","Year to date data","Q3","Percent","239","units","0","v1276947339","1.1.1.1.15.2.3","-39.0","","","","1"
