"REF_DATE","GEO","DGUID","Criminal Justice System","Key indicators","Sex of accused","Offences","Statistics","Fiscal quarters","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019/2020","Newfoundland and Labrador","2016A000210","Adult criminal courts","Total number of charges","Total, sex of accused","Total offences","Year to date data","Q3","Percent","239","units","0","v1276947032","1.1.2.1.1.2.3","","..","","","1"
"2020/2021","Newfoundland and Labrador","2016A000210","Adult criminal courts","Total number of charges","Total, sex of accused","Total offences","Year to date data","Q3","Percent","239","units","0","v1276947032","1.1.2.1.1.2.3","-27.6","","","","1"
"2021/2022","Newfoundland and Labrador","2016A000210","Adult criminal courts","Total number of charges","Total, sex of accused","Total offences","Year to date data","Q3","Percent","239","units","0","v1276947032","1.1.2.1.1.2.3","","..","","","1"
"2022/2023","Newfoundland and Labrador","2016A000210","Adult criminal courts","Total number of charges","Total, sex of accused","Total offences","Year to date data","Q3","Percent","239","units","0","v1276947032","1.1.2.1.1.2.3","","..","","","1"
"2019/2020","Newfoundland and Labrador","2016A000210","Adult criminal courts","Total number of charges","Total, sex of accused","Crimes against the person","Year to date data","Q3","Percent","239","units","0","v1276947122","1.1.2.1.4.2.3","","..","","","1"
"2020/2021","Newfoundland and Labrador","2016A000210","Adult criminal courts","Total number of charges","Total, sex of accused","Crimes against the person","Year to date data","Q3","Percent","239","units","0","v1276947122","1.1.2.1.4.2.3","-13.2","","","","1"
"2021/2022","Newfoundland and Labrador","2016A000210","Adult criminal courts","Total number of charges","Total, sex of accused","Crimes against the person","Year to date data","Q3","Percent","239","units","0","v1276947122","1.1.2.1.4.2.3","","..","","","1"
"2022/2023","Newfoundland and Labrador","2016A000210","Adult criminal courts","Total number of charges","Total, sex of accused","Crimes against the person","Year to date data","Q3","Percent","239","units","0","v1276947122","1.1.2.1.4.2.3","","..","","","1"
"2019/2020","Newfoundland and Labrador","2016A000210","Adult criminal courts","Total number of charges","Total, sex of accused","Crimes against property","Year to date data","Q3","Percent","239","units","0","v1276947340","1.1.2.1.15.2.3","","..","","","1"
"2020/2021","Newfoundland and Labrador","2016A000210","Adult criminal courts","Total number of charges","Total, sex of accused","Crimes against property","Year to date data","Q3","Percent","239","units","0","v1276947340","1.1.2.1.15.2.3","-42.0","","","","1"
"2021/2022","Newfoundland and Labrador","2016A000210","Adult criminal courts","Total number of charges","Total, sex of accused","Crimes against property","Year to date data","Q3","Percent","239","units","0","v1276947340","1.1.2.1.15.2.3","","..","","","1"
"2022/2023","Newfoundland and Labrador","2016A000210","Adult criminal courts","Total number of charges","Total, sex of accused","Crimes against property","Year to date data","Q3","Percent","239","units","0","v1276947340","1.1.2.1.15.2.3","","..","","","1"
"2019/2020","Newfoundland and Labrador","2016A000210","Adult criminal courts","Total number of charges","Total, sex of accused","Administration of justice","Year to date data","Q3","Percent","239","units","0","v1276947504","1.1.2.1.22.2.3","","..","","","1"
"2020/2021","Newfoundland and Labrador","2016A000210","Adult criminal courts","Total number of charges","Total, sex of accused","Administration of justice","Year to date data","Q3","Percent","239","units","0","v1276947504","1.1.2.1.22.2.3","-24.5","","","","1"
"2021/2022","Newfoundland and Labrador","2016A000210","Adult criminal courts","Total number of charges","Total, sex of accused","Administration of justice","Year to date data","Q3","Percent","239","units","0","v1276947504","1.1.2.1.22.2.3","","..","","","1"
