Province,Year,Visitors
Newfoundland and Labrador,2017,90242
Newfoundland and Labrador,2018,96628
Newfoundland and Labrador,2019,98147
Newfoundland and Labrador,2020,18683
Prince Edward Island,2017,2576
Prince Edward Island,2018,409
Prince Edward Island,2019,312
Prince Edward Island,2020,29
Nova Scotia,2017,347184
Nova Scotia,2018,326634
Nova Scotia,2019,217274
Nova Scotia,2020,9792
New Brunswick,2017,1312182
New Brunswick,2018,1294420
New Brunswick,2019,1140057
New Brunswick,2020,161222
Quebec,2017,3697635
Quebec,2018,4048624
Quebec,2019,3823277
Quebec,2020,861188
Ontario,2017,17219445
Ontario,2018,16663909
Ontario,2019,16548128
Ontario,2020,3241686
Manitoba,2017,448291
Manitoba,2018,496719
Manitoba,2019,475366
Manitoba,2020,99374
Saskatchewan,2017,151126
Saskatchewan,2018,158652
Saskatchewan,2019,141481
Saskatchewan,2020,24198
Alberta,2017,2215382
Alberta,2018,2385856
Alberta,2019,1988895
Alberta,2020,378321
British Columbia,2017,8759579
British Columbia,2018,9376652
British Columbia,2019,8760281
British Columbia,2020,1677587
Yukon,2017,391061
Yukon,2018,350232
Yukon,2019,358596
Yukon,2020,23118
Northwest Territories,2017,0
Northwest Territories,2018,0
Northwest Territories,2019,0
Northwest Territories,2020,0
Nunavut,2017,2059
Nunavut,2018,2719
Nunavut,2019,4720
Nunavut,2020,339
